,latitude,longitude,cafe,fast_food
0,51.2117999999998,6.778400000000032,15.0,12.0
1,51.2117999999998,6.779400000000033,15.0,12.0
2,51.2117999999998,6.780400000000033,14.0,13.0
3,51.2117999999998,6.781400000000033,13.0,13.0
4,51.2117999999998,6.782400000000034,13.0,15.0
5,51.2117999999998,6.783400000000034,15.0,14.0
6,51.2117999999998,6.784400000000034,18.0,20.0
7,51.2117999999998,6.785400000000035,18.0,19.0
8,51.2117999999998,6.786400000000035,21.0,18.0
9,51.2117999999998,6.787400000000035,20.0,16.0
10,51.212799999999795,6.778400000000032,16.0,10.0
11,51.212799999999795,6.779400000000033,16.0,11.0
12,51.212799999999795,6.780400000000033,16.0,12.0
13,51.212799999999795,6.781400000000033,14.0,12.0
14,51.212799999999795,6.782400000000034,14.0,14.0
15,51.212799999999795,6.783400000000034,16.0,15.0
16,51.212799999999795,6.784400000000034,19.0,21.0
17,51.212799999999795,6.785400000000035,20.0,20.0
18,51.212799999999795,6.786400000000035,22.0,19.0
19,51.212799999999795,6.787400000000035,21.0,17.0
20,51.21379999999979,6.778400000000032,18.0,10.0
21,51.21379999999979,6.779400000000033,17.0,11.0
22,51.21379999999979,6.780400000000033,16.0,12.0
23,51.21379999999979,6.781400000000033,14.0,12.0
24,51.21379999999979,6.782400000000034,13.0,14.0
25,51.21379999999979,6.783400000000034,15.0,15.0
26,51.21379999999979,6.784400000000034,18.0,22.0
27,51.21379999999979,6.785400000000035,19.0,25.0
28,51.21379999999979,6.786400000000035,21.0,25.0
29,51.21379999999979,6.787400000000035,20.0,23.0
30,51.21479999999979,6.778400000000032,18.0,9.0
31,51.21479999999979,6.779400000000033,17.0,10.0
32,51.21479999999979,6.780400000000033,16.0,11.0
33,51.21479999999979,6.781400000000033,15.0,11.0
34,51.21479999999979,6.782400000000034,14.0,13.0
35,51.21479999999979,6.783400000000034,16.0,14.0
36,51.21479999999979,6.784400000000034,19.0,21.0
37,51.21479999999979,6.785400000000035,21.0,25.0
38,51.21479999999979,6.786400000000035,24.0,27.0
39,51.21479999999979,6.787400000000035,23.0,25.0
40,51.21579999999979,6.778400000000032,20.0,8.0
41,51.21579999999979,6.779400000000033,20.0,9.0
42,51.21579999999979,6.780400000000033,16.0,10.0
43,51.21579999999979,6.781400000000033,15.0,10.0
44,51.21579999999979,6.782400000000034,13.0,11.0
45,51.21579999999979,6.783400000000034,15.0,12.0
46,51.21579999999979,6.784400000000034,18.0,19.0
47,51.21579999999979,6.785400000000035,20.0,23.0
48,51.21579999999979,6.786400000000035,21.0,25.0
49,51.21579999999979,6.787400000000035,21.0,24.0
50,51.216799999999786,6.778400000000032,24.0,10.0
51,51.216799999999786,6.779400000000033,24.0,11.0
52,51.216799999999786,6.780400000000033,20.0,12.0
